"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试密码登录接口","115","test_login_password[phone\u4e3a12\u4f4d]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试添加收货地址接口","109","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u624b\u673a\u53f7\u542b\u5b57\u6bcd]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试删除收货地址接口","116","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e3a\u5b57\u7b26\u4e32]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试查询地址信息接口","120","test_address_info[\u67e5\u8be2\u5730\u5740\u4fe1\u606f]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","118","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u533a\u53bf]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试查询默认地址接口","150","test_address_default[\u67e5\u8be2\u9ed8\u8ba4\u5730\u5740]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","112","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u662f\u5426\u9ed8\u8ba4\u4e3anull]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","107","test_login_password[\u8d26\u53f7\u4e3a\u7a7a]","tests","2026-04-22","passed","2026-04-22","TestUserLogin","test_user_login","",""
"测试添加收货地址接口","109","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u8be6\u7ec6\u5730\u5740\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试删除收货地址接口","109","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e3a\u8d1f\u6570]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","103","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-isDefault\u4f20\u5b57\u7b26\u4e32]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试获取用户个人信息接口","117","test_user_info_person[\u83b7\u53d6\u7528\u6237\u4fe1\u606f-Token\u683c\u5f0f\u9519\u8bef]","tests","2026-04-22","passed","2026-04-22","TestUserInfo","test_user_info","",""
"测试添加收货地址接口","105","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u533a\u53bf\u4e3anull]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","101","test_login_password[phone\u4e3a10\u4f4d]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试更新收货地址接口","113","test_address_update[\u66f4\u65b0\u6536\u8d27\u5730\u5740]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","112","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u5730\u5740\u542b\u7279\u6b8a\u5b57\u7b26]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试获取用户个人信息接口","113","test_user_info_person[\u83b7\u53d6\u7528\u6237\u4e2a\u4eba\u4fe1\u606f\u6210\u529f]","tests","2026-04-22","passed","2026-04-22","TestUserInfo","test_user_info","",""
"测试添加收货地址接口","114","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u624b\u673a\u53f712\u4f4d]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","127","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u624b\u673a\u53f7]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","118","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u624b\u673a\u53f710\u4f4d]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试删除收货地址接口","121","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e3anull]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","114","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u533a\u53bf\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","113","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7701\u4efd\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","119","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u624b\u673a\u53f7\u4e3anull]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","116","test_login_password[\u7f3a\u5c11password\u5b57\u6bb5]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试添加收货地址接口","106","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u8054\u7cfb\u4eba\u8d85\u957f]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试删除收货地址接口","111","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e3a0]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","120","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u8054\u7cfb\u4eba\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","104","test_login_password[\u5bc6\u7801\u9519\u8bef]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试添加收货地址接口","127","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u57ce\u5e02\u4e3anull]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","299","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740\u6210\u529f]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","106","test_login_password[phone\u4e3anull]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试密码登录接口","109","test_login_password[password\u4e3anull]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试查询地址列表接口","118","test_address_list[\u67e5\u8be2\u5730\u5740\u5217\u8868]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","127","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u8054\u7cfb\u4eba\u4e3anull]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","117","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u662f\u5426\u9ed8\u8ba4]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","115","test_login_password[\u5bc6\u7801\u767b\u5f55\u6210\u529f]","tests","2026-04-22","passed","2026-04-22","TestUserLogin","test_user_login","",""
"测试添加收货地址接口","120","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7701\u4efd\u4e3anull]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","106","test_login_password[\u5bc6\u7801\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试添加收货地址接口","113","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u8be6\u7ec6\u5730\u5740\u4e3anull]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","121","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u8be6\u7ec6\u5730\u5740]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
